doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
0,0.06364152,0.12363617,0.09292727,0.00036232,0.17019567,0.12493528,0.00036232,0.00036232,0.00036232,0.13621843,0.00036232,0.00036232,0.00036232,0.00036232,0.28554710
1,0.00040651,0.00040650,0.00040651,0.00040650,0.00040651,0.00040651,0.78334794,0.07905887,0.00040650,0.00040650,0.00040650,0.00040650,0.00040650,0.00040651,0.13271513
2,0.31915687,0.00041152,0.00041152,0.12970164,0.00041152,0.00041152,0.38492923,0.00041152,0.00041152,0.00041152,0.00041152,0.00041152,0.00041152,0.16168551,0.00041152
3,0.06338251,0.00045662,0.00045662,0.05992566,0.00045662,0.00045662,0.53530679,0.05851610,0.00045662,0.11882918,0.00045662,0.00045662,0.00045662,0.02673375,0.13365303
4,0.03607925,0.00050505,0.11478552,0.03666889,0.00050505,0.00050505,0.00050505,0.00050505,0.00050505,0.00050505,0.28542337,0.00050505,0.00050505,0.00050505,0.52199246
5,0.00056497,0.00056497,0.22043760,0.00056497,0.00056497,0.00056497,0.15364635,0.05843282,0.00056497,0.02613527,0.06963082,0.00056497,0.00056497,0.00056497,0.46663239
6,0.33888329,0.07068352,0.21288988,0.00047962,0.00047962,0.07470639,0.00047962,0.00047962,0.00047962,0.00047962,0.00047962,0.00047962,0.16041185,0.00047962,0.13810851
7,0.49040353,0.00047962,0.00047962,0.04894301,0.05686043,0.25497716,0.00047962,0.02691609,0.00047962,0.00047962,0.00047962,0.00047962,0.11758324,0.00047962,0.00047962
8,0.00047619,0.00047619,0.00047619,0.09998883,0.01900598,0.26713810,0.00047619,0.00047619,0.00047619,0.60862899,0.00047619,0.00047619,0.00047619,0.00047619,0.00047619
9,0.00052494,0.00052494,0.25010096,0.16462651,0.00052494,0.33442384,0.12021125,0.00052494,0.01039382,0.00052494,0.00052494,0.00052494,0.00052494,0.00052494,0.11551920
10,0.63798325,0.15864333,0.00053333,0.19697340,0.00053333,0.00053333,0.00053333,0.00053333,0.00053333,0.00053333,0.00053333,0.00053334,0.00053333,0.00053333,0.00053333
11,0.00052494,0.00052494,0.29963678,0.00052494,0.00052494,0.00052494,0.00052494,0.16350392,0.00052494,0.38816623,0.04548404,0.00052493,0.00052494,0.01558194,0.08290266
12,0.00062305,0.00062305,0.38619370,0.00062305,0.08895934,0.00062305,0.15147681,0.05441923,0.04651916,0.00062305,0.00062305,0.00062305,0.00062306,0.00062306,0.26682427
13,0.47212922,0.09979359,0.18353953,0.08223673,0.00057971,0.00057971,0.00057971,0.00057971,0.00057971,0.00057971,0.00057971,0.00057971,0.15650382,0.00057971,0.00057971
14,0.00054645,0.00054645,0.00054645,0.00054645,0.00054645,0.12426765,0.00054645,0.19136605,0.00054645,0.00054645,0.00054645,0.00054645,0.00054645,0.00054645,0.67780891
15,0.00055097,0.00942204,0.17399847,0.03444645,0.00055097,0.00055097,0.06527938,0.04269073,0.00055097,0.05422956,0.00055097,0.00055097,0.00055097,0.00055096,0.61552564
16,0.15748781,0.00062893,0.61152752,0.00062893,0.00062893,0.00062893,0.00062893,0.00062893,0.07543034,0.00062893,0.00062893,0.00062893,0.06711208,0.00062893,0.08215294
17,0.13839441,0.00071685,0.00071685,0.00071685,0.00071685,0.00071685,0.00071685,0.00071685,0.00071685,0.00071685,0.63760657,0.00071685,0.16326724,0.05284646,0.00071685
