doc_index,dominant_topic,dominant_topic_probability
0,15,0.28554710
1,7,0.78334794
2,7,0.38492923
3,7,0.53530679
4,15,0.52199246
5,15,0.46663239
6,1,0.33888329
7,1,0.49040353
8,10,0.60862899
9,6,0.33442384
10,1,0.63798325
11,10,0.38816623
12,3,0.38619370
13,1,0.47212922
14,15,0.67780891
15,15,0.61552564
16,3,0.61152752
17,11,0.63760657
18,1,0.66842049
19,5,0.53070807
20,6,0.48332189
21,1,0.75784751
22,1,0.50504156
23,3,0.58354506
24,3,0.48671054
25,5,0.70625791
26,15,0.23855042
27,1,0.81448359
28,3,0.71150710
29,10,0.50475112
30,1,0.34944165
31,7,0.56286343
32,10,0.41267390
33,3,0.40952016
34,15,0.48839718
35,7,0.34940069
36,8,0.65295992
37,1,0.72440454
38,3,0.47305764
39,6,0.78178893
40,7,0.43035825
41,15,0.40114750
42,4,0.60896456
43,1,0.55594924
44,10,0.58910182
45,3,0.33608822
46,15,0.56585009
47,14,0.32431187
48,10,0.50657976
49,9,0.28442623
50,10,0.55908018
51,13,0.59900753
52,5,0.53335043
53,2,0.67182491
54,10,0.47663194
55,2,0.62487680
56,9,0.53214605
57,6,0.34398517
58,5,0.58209038
59,8,0.49274437
60,13,0.98847734
61,6,0.33654378
62,10,0.59344954
63,11,0.41576254
64,3,0.50130621
65,1,0.71694557
66,1,0.52143049
67,8,0.32875121
68,6,0.32566237
69,1,0.76611518
70,15,0.46843064
71,14,0.43766609
72,10,0.62083043
73,11,0.46611911
74,10,0.78484662
75,1,0.68640220
76,1,0.41387458
77,13,0.37945639
78,10,0.94107019
79,1,0.53676567
80,5,0.30375161
81,13,0.39811700
82,8,0.45674958
83,1,0.46208055
84,4,0.71950798
85,3,0.64124049
86,13,0.65234282
87,8,0.81975814
88,1,0.63791372
89,7,0.46147201
90,10,0.50476200
91,6,0.56657741
92,10,0.52153898
93,1,0.48830748
94,6,0.36018022
95,1,0.30240058
96,11,0.32304263
97,3,0.53440439
98,10,0.33323377
99,8,0.36482692
100,11,0.35699436
101,7,0.53996313
102,14,0.19543638
103,7,0.50208799
104,1,0.65496690
105,7,0.43379865
106,3,0.39247156
107,3,0.37747493
108,3,0.34733309
109,7,0.51467643
110,14,0.32300702
111,10,0.45069350
112,8,0.49100915
113,5,0.31025275
114,6,0.48796951
115,13,0.49908276
116,15,0.31534645
117,1,0.48580165
118,6,0.38657229
119,6,0.43847714
120,2,0.37059983
121,1,0.60489438
122,1,0.54097087
123,7,0.60210921
124,15,0.53982220
125,15,0.42401169
126,13,0.32272181
127,3,0.40975757
128,7,0.40922166
129,5,0.30306503
130,3,0.29342364
131,4,0.50802210
132,13,0.34141460
133,2,0.52693193
134,10,0.49459947
135,6,0.46526661
136,5,0.80260087
137,15,0.49871552
138,9,0.24573307
139,4,0.32844976
140,15,0.51236174
141,1,0.59846668
142,13,0.54270515
143,15,0.27856842
144,13,0.43974230
145,10,0.46105951
146,3,0.37862475
147,6,0.50282958
148,10,0.43069784
149,1,0.46130278
150,1,0.47781519
151,15,0.71604229
152,15,0.59505370
153,13,0.34764605
154,3,0.78853413
155,10,0.37473293
156,5,0.31627780
157,3,0.42145903
158,10,0.51183998
159,13,0.61698674
160,10,0.21331782
161,3,0.52542901
162,1,0.72147953
163,7,0.32640674
164,5,0.33772502
165,15,0.48548858
166,3,0.48836843
167,15,0.81766691
168,5,0.36105414
169,10,0.46219572
170,15,0.51714577
171,1,0.77778019
172,3,0.81233410
173,11,0.34740725
174,8,0.78708679
175,8,0.43155589
176,3,0.49366666
177,15,0.89955807
178,1,0.64479613
179,6,0.65571773
180,10,0.42518476
181,11,0.65929245
182,8,0.46089104
183,12,0.35559329
184,15,0.63851089
185,2,0.51435773
186,3,0.57286641
187,8,0.51335990
188,13,0.63206499
189,6,0.58380898
190,1,0.26911500
191,9,0.38310320
192,2,0.41730120
193,15,0.40694862
194,5,0.30983906
195,4,0.32304878
196,13,0.69056471
197,1,0.70798138
198,1,0.67712060
199,3,0.70689338
200,3,0.54565565
201,15,0.61910158
202,11,0.62435194
203,2,0.56809481
204,1,0.46476716
205,3,0.22732219
206,3,0.62475026
207,13,0.52375147
208,4,0.36452588
209,8,0.78758090
210,2,0.48734730
211,5,0.31362721
212,3,0.63394370
213,13,0.32463066
214,3,0.70151817
215,13,0.57216888
216,4,0.50457284
217,3,0.57686560
218,2,0.45658115
219,4,0.42042845
220,1,0.57431425
221,4,0.27738615
222,8,0.44386835
223,1,0.50898499
224,10,0.28916947
225,15,0.34324868
226,7,0.28725099
227,7,0.53500342
228,14,0.40079638
229,5,0.42489101
230,1,0.35955771
231,13,0.39170438
232,14,0.33590218
233,11,0.38428123
234,7,0.57710671
235,1,0.76037068
236,4,0.36475736
237,1,0.40216546
238,15,0.46225674
239,1,0.36365497
240,15,0.38996150
241,14,0.41641670
242,4,0.65607248
243,11,0.45193664
244,6,0.35014930
245,1,0.49930055
246,1,0.35705860
247,5,0.65659427
248,1,0.24578700
249,15,0.52522265
250,7,0.59995958
251,9,0.28387822
252,13,0.61183894
253,15,0.39793560
254,5,0.64646986
255,8,0.63193296
256,15,0.26443537
257,4,0.67601902
258,15,0.74136934
259,3,0.45296485
260,11,0.26785951
261,12,0.35445023
262,3,0.57648627
263,5,0.52496348
264,8,0.42669030
265,15,0.57342296
266,5,0.48446865
267,3,0.38634269
268,9,0.36472011
269,15,0.98847734
270,11,0.34784162
271,13,0.83577172
272,1,0.46412443
273,10,0.84210044
274,4,0.42638652
275,3,0.65777817
276,15,0.45323577
277,10,0.52447140
278,5,0.28075095
279,10,0.30395245
280,5,0.50290393
281,10,0.72532838
282,15,0.52043393
283,15,0.30381046
284,15,0.58617539
285,6,0.37771520
286,8,0.52638519
287,3,0.48845345
288,5,0.49430758
289,8,0.56841979
290,5,0.58214053
291,5,0.24173961
292,13,0.30508754
293,13,0.25503578
294,12,0.81733393
295,10,0.40659016
296,3,0.40816112
297,5,0.46220748
298,2,0.57797233
299,6,0.53589307
300,5,0.72248796
301,8,0.52096506
302,3,0.35811835
303,1,0.44097048
304,8,0.61223899
305,3,0.26282802
306,7,0.45108462
307,15,0.43736373
308,3,0.52536522
309,13,0.46556993
310,5,0.57201688
311,8,0.39403960
312,3,0.26973030
313,10,0.31445595
314,12,0.41626528
315,8,0.71177232
316,1,0.60257742
317,9,0.40601411
318,5,0.46076703
319,10,0.41742280
320,1,0.37658247
321,1,0.33782429
322,15,0.62308668
323,1,0.47237186
324,5,0.63765895
325,3,0.59656390
326,3,0.73943407
327,3,0.48725503
328,4,0.52511206
329,1,0.47214468
330,4,0.50436750
331,5,0.34073748
332,1,0.41406753
333,1,0.46331023
334,14,0.69496365
335,8,0.52502060
336,15,0.79473837
337,1,0.64991861
338,10,0.98518516
339,3,0.34087903
340,3,0.44606361
341,3,0.41808390
342,11,0.31518768
343,3,0.65499044
344,15,0.44769296
345,3,0.53505611
346,3,0.45561512
347,6,0.34051403
348,15,0.98205123
349,1,0.66667527
350,13,0.35941822
351,13,0.98169932
352,3,0.47247554
353,4,0.49457191
354,15,0.85920230
355,13,0.43469850
356,5,0.53112772
357,6,0.58761317
358,2,0.39148430
359,9,0.54768033
360,15,0.97333331
361,2,0.42848913
362,8,0.29177589
363,14,0.51634623
364,1,0.36911333
365,3,0.33064276
366,6,0.34897941
367,9,0.34909242
368,14,0.53935572
369,3,0.38089546
370,13,0.27118343
371,3,0.64902786
372,5,0.52278320
373,15,0.61162759
374,7,0.60386760
375,15,0.59970869
376,14,0.74004866
377,14,0.36461774
378,6,0.37558864
379,5,0.45605697
380,11,0.31536295
381,5,0.24975693
382,1,0.51013067
383,10,0.47712874
384,9,0.51863418
385,3,0.52307621
386,15,0.76423255
387,1,0.66106816
388,6,0.53884824
389,14,0.45341156
390,11,0.23956977
391,1,0.41661746
392,2,0.41512000
393,4,0.38366386
394,5,0.73038130
395,5,0.66684481
396,15,0.50171455
397,13,0.23979281
398,8,0.32710491
399,1,0.63336275
400,8,0.62339339
401,5,0.39025367
402,1,0.58352375
403,6,0.68986117
404,5,0.23968732
405,7,0.58059851
406,10,0.40732749
407,10,0.62502630
408,10,0.37500731
409,12,0.41098736
410,5,0.56923166
411,13,0.31293585
412,10,0.32717516
413,10,0.36352547
414,8,0.24327733
415,9,0.24459315
416,3,0.40649870
417,5,0.44246986
418,6,0.50595289
419,3,0.55123921
420,1,0.90793918
421,6,0.30674775
422,10,0.48258668
423,3,0.46054461
424,11,0.31129839
425,8,0.45371312
426,11,0.36613278
427,11,0.34845551
428,6,0.34072967
429,6,0.34773497
430,5,0.60940061
431,5,0.57432920
432,6,0.25050272
433,6,0.32213992
434,8,0.36788674
435,1,0.44198015
436,3,0.39755728
437,1,0.47257173
438,15,0.33549871
439,10,0.72223416
440,8,0.55102280
441,3,0.43147681
442,3,0.35653735
443,8,0.73762714
444,3,0.46497570
445,5,0.68206997
446,8,0.51505281
447,3,0.59267281
448,3,0.75745122
