topic,rank,word,weight,probability
1,1,learning,8050.738772500379,0.04856920664822097
1,2,student,7798.1326154123735,0.04704526195309209
1,3,use,3291.1279988366928,0.01985500714881601
1,4,design,2064.8260809028166,0.012456864823209042
1,5,based,1875.5269918244292,0.011314844589342642
1,6,online,1680.4165107731803,0.01013776487762958
1,7,teaching,1588.170502927672,0.009581255028766304
1,8,technology,1432.025113333427,0.008639247356094735
1,9,group,1385.721596320237,0.008359903416376444
1,10,data,1200.4128114931382,0.007241956241796492
1,11,system,1117.2326848204168,0.006740139840152414
1,12,activity,1076.7534578590125,0.006495933190948458
1,13,provide,979.6018010896115,0.005909828110757838
1,14,course,973.5283799761326,0.005873187840410249
1,15,approach,950.9388338442811,0.00573690763493208
2,1,science,2512.493319005282,0.06849477301121626
2,2,engineere,2097.0666659847634,0.05716954715441074
2,3,stem,1590.0666659544452,0.04334787859271604
2,4,student,664.6707073425239,0.01812003593492342
2,5,interest,489.9356965156268,0.013356467087528778
2,6,project,477.74234842190305,0.01302405601060818
2,7,course,475.1751655760774,0.012954070309562521
2,8,technology,458.22110099888823,0.012491874133338726
2,9,design,385.0032847072372,0.010495833917295857
2,10,field,338.60794855829766,0.009231019402462112
2,11,mathematic,317.4157812458572,0.008653285452404881
2,12,discipline,309.2737857402215,0.00843132102774418
2,13,major,304.8766416837889,0.00831144752130946
2,14,career,291.44953392138166,0.007945402090889238
2,15,cours,289.93353204462045,0.007904073342411432
3,1,teacher,11321.880883223126,0.06470436390993443
3,2,teaching,4184.369515267167,0.02391360328217887
3,3,student,2973.16648501073,0.016991597791496005
3,4,program,2701.845896628582,0.015441005070374011
3,5,learning,2467.2922264595873,0.014100534684970622
3,6,practice,2294.15587300701,0.013111063259208244
3,7,evaluation,2037.2409653581358,0.01164279876765783
3,8,development,1867.5411470025153,0.010672967083718938
3,9,use,1667.5826371954226,0.00953020747346564
3,10,curriculum,1579.0576726026836,0.009024288749960046
3,11,professional,1434.7498917251164,0.008199572144543947
3,12,design,1376.352912537826,0.007865834364439371
3,13,school,1356.5479948038003,0.0077526495837932875
3,14,based,1314.3568397400077,0.007511527823267315
3,15,experience,1208.262888696189,0.006905202629795774
4,1,student,1755.1670429571454,0.03960649862706147
4,2,chemistry,1195.0666659936094,0.026967465265400666
4,3,laboratory,999.3228619030892,0.022550377593275165
4,4,use,701.4725470116682,0.01582918935358411
4,5,experiment,613.3952393339066,0.013841666980934527
4,6,concept,543.3239150834858,0.0122604614661336
4,7,scientific,392.33491080495355,0.008853295285196442
4,8,reaction,291.111613455505,0.006569125010016852
4,9,lab,280.04357459890605,0.006319367434213937
4,10,biology,264.4997534340379,0.005968610887083015
4,11,understand,251.50833741477987,0.005675451040676936
4,12,chemical,240.34007802442753,0.005423431922618863
4,13,ability,219.58882882186717,0.00495516633710155
4,14,energy,218.08946241541912,0.004921332148067102
4,15,level,203.29744041469013,0.004587540443503036
5,1,student,7682.955488919864,0.06070542085590136
5,2,learning,4599.882058161117,0.03634509878794547
5,3,self,3509.907667489535,0.027732872125524
5,4,online,2420.489893545194,0.019125043464982318
5,5,effect,1599.2106291616005,0.012635860564400355
5,6,use,1582.9485385739729,0.01250736872886357
5,7,motivation,1478.5318890578862,0.01168234030557274
5,8,academic,1446.9074085843338,0.011432465449566494
5,9,efficacy,1352.4610115228604,0.010686215091848184
5,10,perceive,1299.066154164388,0.010264325717093707
5,11,relationship,1275.6037885132853,0.010078942268864792
5,12,factor,1257.1036750161552,0.009932767118254474
5,13,social,1155.0106018797298,0.009126097994613575
5,14,engagement,1069.487871995031,0.008450356306680652
5,15,perception,1020.3933058522099,0.008062444870289287
6,1,student,10151.243079465172,0.09004889392159314
6,2,test,2763.3560237462657,0.02451297358382567
6,3,group,2020.8365055542945,0.017926286534272324
6,4,performance,1746.3594162570166,0.01549147553580095
6,5,score,1648.7954323312943,0.014626012186108582
6,6,course,1604.8774425905406,0.01423642774128184
6,7,effect,1580.5346071461381,0.014020489122777268
6,8,year,1547.6613034168727,0.013728879059143082
6,9,school,1288.4620786868525,0.011429593808109324
6,10,grade,1191.7576107434352,0.010571754989019626
6,11,class,1099.4415011846002,0.009752844093886605
6,12,level,1033.166616291014,0.009164937762343733
6,13,high,1005.7216446725852,0.008921480944434568
6,14,not,916.9844144408474,0.008134317306495682
6,15,difference,912.3834064610546,0.008093503026287686
7,1,student,4154.5177191964685,0.04134439482999138
7,2,medical,3068.5614246341097,0.0305373147198157
7,3,clinical,1698.7622102019868,0.01690552316489912
7,4,health,1650.8385105332427,0.016428602257410076
7,5,patient,1395.8169420496636,0.013890711428631027
7,6,care,1392.1627249033513,0.013854345860663036
7,7,program,1316.5349492471805,0.01310172309475328
7,8,nurs,1126.066666030161,0.011206245343502251
7,9,survey,865.2518577452277,0.00861070209634855
7,10,ability,852.866110018613,0.008487443205934461
7,11,experience,830.0220419971366,0.008260106549398124
7,12,training,828.8381566295997,0.00824832491134114
7,13,pharmacy,809.0666660095965,0.008051565535206143
7,14,medicine,737.380852854116,0.00733817188445469
7,15,curriculum,734.955153053297,0.0073140321173186165
8,1,student,5320.48504893551,0.05639734445053224
8,2,academic,1311.505794653714,0.013902011446259596
8,3,program,1291.9974688226125,0.013695222448371147
8,4,career,1263.620745109927,0.013394428094683018
8,5,factor,958.1829260809732,0.010156775563088801
8,6,institution,928.6531595567486,0.00984375891161946
8,7,data,887.407191255233,0.009406550074436144
8,8,year,882.9498185440005,0.00935930175368575
8,9,degree,834.258538877937,0.008843172332062133
8,10,community,799.0218093712073,0.008469661655305535
8,11,effect,754.3775507425376,0.007996430811038154
8,12,use,732.007131929429,0.007759303518375622
8,13,school,621.8590647093918,0.006591729804619639
8,14,colleg,585.3367062261273,0.006204591411675824
8,15,major,542.9447630254882,0.005755235196852484
9,1,language,3212.066665912721,0.07492165146945808
9,2,english,2094.0666658867226,0.04884423307907714
9,3,write,1748.066665811706,0.040773761911976764
9,4,reade,1248.0666658165333,0.029111231326322578
9,5,chinese,876.7788349821094,0.020450919959863634
9,6,literacy,708.9804131698903,0.016537011506606834
9,7,text,589.274235294127,0.013744857585044176
9,8,proficiency,531.1105144905514,0.012388185239336776
9,9,task,517.4042344902585,0.012068485419895776
9,10,word,513.5144855389914,0.011977756787665562
9,11,vocabulary,453.0666662590383,0.010567807705274851
9,12,foreign,434.7731894094466,0.010141111238718092
9,13,efl,432.0666663296312,0.010077981422319228
9,14,use,412.0661359631075,0.00961146782805695
9,15,comprehension,360.67772398083486,0.008412829975062472
10,1,child,1302.2199889998444,0.01612094294529055
10,2,school,1204.6149894155628,0.014912633563799786
