doc_index,processed_word_count
0,183
1,163
2,161
3,145
4,131
5,117
6,138
7,138
8,139
9,126
10,124
11,126
12,106
13,114
14,121
15,120
16,105
17,92
18,105
19,101
20,97
21,96
22,98
23,94
24,89
25,95
26,91
27,92
28,91
29,90
30,92
31,90
32,92
33,95
34,89
35,90
36,106
37,91
38,82
39,89
40,81
41,80
42,86
43,86
44,91
45,85
46,80
47,84
48,80
49,87
50,81
51,84
52,74
53,76
54,75
55,81
56,84
57,80
58,74
59,69
60,80
61,81
62,72
63,69
64,74
65,75
66,67
67,77
68,59
69,71
70,62
71,59
72,76
73,70
74,66
75,66
76,61
77,72
78,64
79,67
80,61
81,60
82,57
83,51
84,60
85,54
86,60
87,52
88,47
89,50
90,43
91,40
92,37
93,31
94,29
95,31
96,190
97,149
98,177
99,154
100,153
101,143
102,143
103,156
104,153
105,132
106,148
107,134
108,139
109,133
110,123
111,135
112,132
113,114
114,115
115,111
116,116
117,106
118,117
119,89
120,106
121,105
122,121
123,108
124,101
125,104
126,109
127,111
128,113
129,95
130,102
131,110
132,100
133,107
134,98
135,99
136,92
137,94
138,92
139,98
140,72
141,103
142,92
143,96
144,97
145,84
146,87
147,101
148,92
149,90
150,99
151,77
152,77
153,82
154,77
155,92
156,84
157,83
158,83
159,84
160,84
161,83
162,83
163,85
164,87
165,83
166,76
167,78
168,79
169,83
170,68
171,75
172,73
173,76
174,82
175,71
176,76
177,62
178,73
179,79
180,75
181,71
182,64
183,64
184,71
185,66
186,72
187,69
188,68
189,72
190,67
191,59
192,65
193,57
194,62
195,62
196,63
197,59
198,61
199,60
200,51
201,52
202,56
203,51
204,55
205,47
206,45
207,55
208,47
209,48
210,51
211,46
212,44
213,50
214,43
215,40
216,42
217,36
218,27
219,23
220,222
221,201
222,167
223,186
224,186
225,166
226,156
227,171
228,163
229,145
230,139
231,135
232,135
233,139
234,139
235,134
236,118
237,121
238,128
239,117
240,104
241,124
242,127
243,121
244,122
245,133
246,111
247,115
248,115
249,92
250,108
251,123
252,110
253,107
254,111
255,85
256,96
257,104
258,86
259,99
260,97
261,93
262,91
263,90
264,89
265,82
266,90
267,95
268,102
269,80
270,99
271,94
272,101
273,88
274,92
275,86
276,75
277,97
278,72
279,93
280,90
281,74
282,80
283,84
284,67
285,81
286,85
287,80
288,85
289,73
290,80
291,80
292,81
293,85
294,77
295,84
296,71
297,84
298,80
299,81
300,76
301,91
302,71
303,76
304,59
305,67
306,66
307,67
308,65
309,72
310,75
311,68
312,70
313,76
314,60
315,70
316,69
317,67
318,76
319,87
320,76
321,63
322,66
323,75
324,66
325,70
326,69
327,67
328,71
